pos_x,pos_y,pos_z,orn1_x,orn1_y,orn1_z,orn2_x,orn2_y,orn2_z,orn3_x,orn3_y,orn3_z,action1,action2,action3,action4
-0.6942485,-0.48712033,0.5182668,0.9145033,-0.15756933,0.37263346,0.22517051,0.9634374,-0.14521234,-0.336128,0.21670322,0.9165466,0.44127637,0.53071356,1.5769105,0.08468868
-0.6951097,-0.4865685,0.5179174,0.9308613,-0.16589257,0.325541,0.2175703,0.9674671,-0.1291148,-0.29353097,0.19101602,0.93667096,1.0725836,0.4283289,1.5846529,-0.089776516
-0.6974111,-0.48509103,0.51769173,0.95731264,-0.1792038,0.22680068,0.20508589,0.97402006,-0.09604567,-0.20369665,0.13845935,0.9691938,1.206917,0.22331959,1.4980032,-0.08413657
-0.70078313,-0.482938,0.51835084,0.97576034,-0.18976265,0.109004036,0.19769329,0.97796047,-0.067161724,-0.093856856,0.087083116,0.99176985,1.0385273,0.06405373,1.4562719,-0.04211545
-0.70467937,-0.4803695,0.5201427,0.9803925,-0.19599365,-0.020421991,0.19489484,0.97972757,-0.046368197,0.029095858,0.04147889,0.99871564,0.8833339,0.052354306,1.3932303,-0.03142289
-0.7084525,-0.4776193,0.5231204,0.96857756,-0.19731572,-0.15140676,0.19448566,0.98033565,-0.03342767,0.15502524,0.0029308493,0.98790616,0.63526225,0.14989896,1.2915243,-0.038281336
-0.7114866,-0.47485855,0.5269919,0.9403294,-0.19448754,-0.27920467,0.1967631,0.98024416,-0.020139918,0.2776057,-0.03599902,0.96002036,0.46028635,0.27252826,0.9581685,-0.08601953
-0.7132575,-0.47223178,0.53127825,0.89834875,-0.18776186,-0.3971335,0.20574237,0.9786024,0.0027300566,0.38812318,-0.08415973,0.9177568,0.29300702,0.23203191,0.36198682,-0.10007918
-0.7132687,-0.46996832,0.5354635,0.86184883,-0.18095157,-0.4737859,0.22118446,0.97476864,0.030059293,0.45639238,-0.13070066,0.8801269,0.4950495,0.17412779,-0.102142766,-0.07663047
-0.71117455,-0.46831453,0.53931516,0.85017854,-0.18085635,-0.49445668,0.23762852,0.96986294,0.05383847,0.4698182,-0.16326933,0.86753327,0.7487145,0.04222603,-0.408311,-0.056767583
-0.706841,-0.46746472,0.54305744,0.86038125,-0.18857528,-0.4734802,0.2504581,0.9655525,0.07056283,0.4438636,-0.1792979,0.87797344,0.73375005,-0.100722015,-0.599074,-0.019175055
-0.700373,-0.46753588,0.5469222,0.88364965,-0.20173453,-0.422453,0.25507262,0.9641529,0.07312513,0.39255738,-0.17237319,0.9034302,0.3661585,-0.1514869,-0.6731365,0.08460775
-0.69215155,-0.46843544,0.5508252,0.91174173,-0.21536516,-0.34977835,0.25181183,0.96580654,0.061714143,0.32452714,-0.14434569,0.9347976,-0.046343327,-0.06737864,-0.43783796,0.19674625
